"date","daytype","rides"
"08/01/2001","W","5,496"
"08/02/2001","W","5,100"
"08/03/2001","W","5,558"
"08/04/2001","A","5,455"
"08/05/2001","U","4,334"
"08/06/2001","W","5,368"
"08/07/2001","W","11,834"
"08/08/2001","W","12,725"
"08/09/2001","W","13,440"
"08/10/2001","W","14,533"
"08/11/2001","A","11,441"
"08/12/2001","U","9,290"
"08/13/2001","W","4,897"
"08/14/2001","W","5,125"
"08/15/2001","W","5,054"
"08/16/2001","W","5,084"
"08/17/2001","W","5,475"
"08/18/2001","A","3,857"
"08/19/2001","U","2,940"
"08/20/2001","W","12,795"
"08/21/2001","W","9,747"
"08/22/2001","W","9,487"
"08/23/2001","W","12,606"
"08/24/2001","W","13,990"
"08/25/2001","A","9,811"
"08/26/2001","U","9,288"
"08/27/2001","W","5,301"
"08/28/2001","W","11,215"
"08/29/2001","W","11,257"
"08/30/2001","W","10,788"
"08/31/2001","W","5,327"
"09/01/2001","A","4,039"
"09/02/2001","U","3,230"
"09/03/2001","U","2,308"
"09/04/2001","W","5,129"
"09/05/2001","W","5,510"
"09/06/2001","W","5,664"
"09/07/2001","W","12,581"
"09/08/2001","A","10,523"
"09/09/2001","U","8,472"
"09/10/2001","W","10,467"
"09/11/2001","W","4,935"
"09/12/2001","W","5,211"
"09/13/2001","W","5,454"
"09/14/2001","W","5,720"
"09/15/2001","A","3,578"
"09/16/2001","U","2,817"
"09/17/2001","W","5,397"
"09/18/2001","W","5,396"
"09/19/2001","W","5,426"
"09/20/2001","W","5,793"
"09/21/2001","W","5,805"
"09/22/2001","A","4,006"
"09/23/2001","U","2,671"
"09/24/2001","W","5,200"
"09/25/2001","W","5,421"
"09/26/2001","W","5,537"
"09/27/2001","W","10,500"
"09/28/2001","W","11,709"
"09/29/2001","A","9,571"
"09/30/2001","U","7,800"
"10/01/2001","W","5,351"
"10/02/2001","W","8,890"
"10/03/2001","W","7,749"
"10/04/2001","W","7,570"
"10/05/2001","W","8,507"
"10/06/2001","A","7,976"
"10/07/2001","U","7,681"
"10/08/2001","W","4,784"
"10/09/2001","W","5,388"
"10/10/2001","W","5,636"
"10/11/2001","W","5,674"
"10/12/2001","W","5,786"
"10/13/2001","A","3,348"
"10/14/2001","U","2,777"
"10/15/2001","W","5,283"
"10/16/2001","W","5,216"
"10/17/2001","W","5,384"
"10/18/2001","W","5,607"
"10/19/2001","W","6,106"
"10/20/2001","A","3,915"
"10/21/2001","U","2,888"
"10/22/2001","W","5,076"
"10/23/2001","W","5,322"
"10/24/2001","W","5,266"
"10/25/2001","W","5,332"
"10/26/2001","W","5,746"
"10/27/2001","A","3,524"
"10/28/2001","U","3,005"
"10/29/2001","W","5,199"
"10/30/2001","W","5,328"
"10/31/2001","W","5,648"
"11/01/2001","W","5,801"
"11/02/2001","W","6,074"
"11/03/2001","A","3,857"
"11/04/2001","U","3,284"
"11/05/2001","W","5,180"
"11/06/2001","W","5,272"
"11/07/2001","W","5,404"
"11/08/2001","W","5,459"
"11/09/2001","W","5,629"
"11/10/2001","A","4,872"
"11/11/2001","U","3,023"
"11/12/2001","W","4,754"
"11/13/2001","W","5,643"
"11/14/2001","W","5,264"
"11/15/2001","W","5,281"
"11/16/2001","W","5,910"
"11/17/2001","A","4,331"
"11/18/2001","U","2,645"
"11/19/2001","W","5,014"
"11/20/2001","W","5,221"
"11/21/2001","W","4,730"
"11/22/2001","U","1,340"
"11/23/2001","W","2,810"
"11/24/2001","A","2,515"
"11/25/2001","U","1,943"
"11/26/2001","W","4,842"
"11/27/2001","W","5,071"
"11/28/2001","W","5,164"
"11/29/2001","W","5,142"
"11/30/2001","W","5,384"
"12/01/2001","A","3,844"
"12/02/2001","U","2,706"
"12/03/2001","W","4,978"
"12/04/2001","W","5,138"
"12/05/2001","W","5,318"
"12/06/2001","W","5,254"
"12/07/2001","W","5,575"
"12/08/2001","A","3,929"
"12/09/2001","U","2,585"
"12/10/2001","W","4,946"
"12/11/2001","W","5,046"
"12/12/2001","W","5,186"
"12/13/2001","W","5,198"
"12/14/2001","W","5,451"
"12/15/2001","A","3,685"
"12/16/2001","U","2,641"
"12/17/2001","W","4,903"
"12/18/2001","W","5,060"
"12/19/2001","W","5,102"
"12/20/2001","W","4,959"
"12/21/2001","W","4,771"
"12/22/2001","A","2,335"
"12/23/2001","U","1,578"
"12/24/2001","W","1,455"
"12/25/2001","U","455"
"12/26/2001","W","2,215"
"12/27/2001","W","3,066"
"12/28/2001","W","3,546"
"12/29/2001","A","2,272"
"12/30/2001","U","1,836"
"12/31/2001","W","2,929"
"01/01/2002","U","1,135"
"01/02/2002","W","4,047"
"01/03/2002","W","4,400"
"01/04/2002","W","4,564"
"01/05/2002","A","2,772"
"01/06/2002","U","2,129"
"01/07/2002","W","4,833"
"01/08/2002","W","5,065"
"01/09/2002","W","5,245"
"01/10/2002","W","5,178"
"01/11/2002","W","5,470"
"01/12/2002","A","3,265"
"01/13/2002","U","2,336"
"01/14/2002","W","4,989"
"01/15/2002","W","5,028"
"01/16/2002","W","5,223"
"01/17/2002","W","5,233"
"01/18/2002","W","5,236"
"01/19/2002","A","3,880"
"01/20/2002","U","2,489"
"01/21/2002","W","3,716"
"01/22/2002","W","5,207"
"01/23/2002","W","5,340"
"01/24/2002","W","5,267"
"01/25/2002","W","5,747"
"01/26/2002","A","3,601"
"01/27/2002","U","2,422"
"01/28/2002","W","4,961"
